Wall time,Step,Train_Accuracy,Validation_Accuracy
1714481978,0,0.788999975,0.780003607
1714482050,1,0.832929969,0.770035207
1714482121,2,0.849009991,0.780007303
1714482200,3,0.858510017,0.690323949
1714482272,4,0.869040012,0.770081758
1714482344,5,0.878000021,0.770050287
1714482415,6,0.883930027,0.760100245
1714482487,7,0.889159977,0.760086238
1714482558,8,0.894940019,0.799946725
1714482630,9,0.900550008,0.769964695
1714482701,10,0.905239999,0.730050743
1714482773,11,0.90644002,0.720209956
1714482845,12,0.910679996,0.81995821
1714482916,13,0.914960027,0.750004709
1714482988,14,0.917249978,0.780021071
1714483059,15,0.920040011,0.789920449
1714483132,16,0.924579978,0.829802454
1714483203,17,0.925819993,0.770013928
1714483274,18,0.929080009,0.730158389
1714483346,19,0.929939985,0.819860578
1714483417,20,0.931400001,0.720211565
1714483488,21,0.933309972,0.750092566
1714483565,22,0.935649991,0.710205495
1714483637,23,0.935790002,0.779913247
1714483709,24,0.939260006,0.859796882
1714483781,25,0.939400017,0.779951453
1714483853,26,0.941460013,0.769958079
1714483925,27,0.942780018,0.779954553
1714483996,28,0.944140017,0.759997308
1714484068,29,0.945309997,0.779980123
